Starting Log...
brian moved s8_Boom_Clicks.m4a
brian uploaded s9_Bowed_vibe_drone.m4a
brian moved s9_Bowed_vibe_drone.m4a
brian uploaded s10_Grinding_Coffee_Beans.m4a
brian moved s10_Grinding_Coffee_Beans.m4a
brian uploaded s11_belting.m4a
brian moved s11_belting.m4a
brian uploaded s12_fast_bass_arco.m4a
brian uploaded s13_guitar_vamp.m4a
brian uploaded s14_bass_lyrical_and_trill.m4a
brian uploaded s15_marimba_fast.m4a
brian moved s14_bass_lyrical_and_trill.m4a
brian moved s12_fast_bass_arco.m4a
brian moved s15_marimba_fast.m4a
brian uploaded s16_triangle_groove.m4a
brian moved s16_triangle_groove.m4a
brian uploaded s17_Violin_Fiddle.m4a
brian moved s17_Violin_Fiddle.m4a
brian uploaded s18_whistling.m4a
brian moved s18_whistling.m4a
brian uploaded s19_wind_chimes_(short).m4a
brian moved s19_wind_chimes_(short).m4a
Brian moved s19_wind_chimes_(short).m4a
Brian moved s17_Violin_Fiddle.m4a
Brian moved s10_Grinding_Coffee_Beans.m4a
me moved s18_whistling.m4a
me moved s11_belting.m4a
me moved s16_triangle_groove.m4a
me moved s13_guitar_vamp.m4a
me moved s18_whistling.m4a
me deleted s7_belting.m4a
me moved s11_belting.m4a
me moved s18_whistling.m4a
me moved s14_bass_lyrical_and_trill.m4a
b moved s17_Violin_Fiddle.m4a
b moved s11_belting.m4a
Mr. Test-guy moved s18_whistling.m4a
Mr. Test-guy moved s18_whistling.m4a
Mr. Test-guy moved s8_Boom_Clicks.m4a
BrianEllisSound moved s11_belting.m4a
BrianEllisSound moved s18_whistling.m4a
Toshi moved s17_Violin_Fiddle.m4a
Toshi moved s4_crickets.wav
Toshi moved s10_Grinding_Coffee_Beans.m4a
Toshi moved s4_crickets.wav
Brian uploaded s19_Brian
Brian moved s19_Brian
Brian deleted s19_Brian
Brian uploaded s20_Brian
Brian deleted s20_Brian
brian uploaded s20_brian
brian uploaded s20_brian.mp3
brian moved s20_brian.mp3
